provider,decile,cumulative_percentage,group,location_no,location_yes
Coventry University,9,93,enrolment,1,1
Coventry University,10,100,enrolment,1,1
The University of Southampton,0,0,enrolment,1,1
The University of Southampton,1,2,enrolment,1,1
The University of Southampton,2,5,enrolment,1,1
The University of Southampton,3,9,enrolment,1,1
The University of Southampton,4,15,enrolment,1,1
The University of Southampton,5,24,enrolment,1,1
The University of Southampton,6,35,enrolment,1,1
The University of Southampton,7,48,enrolment,1,1
The University of Southampton,8,62,enrolment,1,1
The University of Southampton,9,79,enrolment,1,1
The University of Southampton,10,100,enrolment,1,1
London School of Economics and Political Science,0,0,enrolment,1,1
London School of Economics and Political Science,1,4,enrolment,1,1
London School of Economics and Political Science,2,9,enrolment,1,1
London School of Economics and Political Science,3,14,enrolment,1,1
London School of Economics and Political Science,4,24,enrolment,1,1
London School of Economics and Political Science,5,32,enrolment,1,1
London School of Economics and Political Science,6,42,enrolment,1,1
London School of Economics and Political Science,7,49,enrolment,1,1
London School of Economics and Political Science,8,56,enrolment,1,1
London School of Economics and Political Science,9,65,enrolment,1,1
London School of Economics and Political Science,10,100,enrolment,1,1
The University of Warwick,0,0,enrolment,1,1
The University of Warwick,1,4,enrolment,1,1
The University of Warwick,2,8,enrolment,1,1
The University of Warwick,3,14,enrolment,1,1
The University of Warwick,4,23,enrolment,1,1
The University of Warwick,5,31,enrolment,1,1
The University of Warwick,6,41,enrolment,1,1
The University of Warwick,7,51,enrolment,1,1
The University of Warwick,8,62,enrolment,1,1
The University of Warwick,9,75,enrolment,1,1
The University of Warwick,10,100,enrolment,1,1
King's College London,0,0,enrolment,1,1
King's College London,1,7,enrolment,1,1
King's College London,2,15,enrolment,1,1
King's College London,3,25,enrolment,1,1
King's College London,4,36,enrolment,1,1
King's College London,5,44,enrolment,1,1
King's College London,6,51,enrolment,1,1
King's College London,7,58,enrolment,1,1
King's College London,8,65,enrolment,1,1
King's College London,9,71,enrolment,1,1
King's College London,10,100,enrolment,1,1
The Nottingham Trent University,0,0,enrolment,1,1
The Nottingham Trent University,1,4,enrolment,1,1
The Nottingham Trent University,2,9,enrolment,1,1
The Nottingham Trent University,3,16,enrolment,1,1
The Nottingham Trent University,4,25,enrolment,1,1
The Nottingham Trent University,5,35,enrolment,1,1
The Nottingham Trent University,6,46,enrolment,1,1
The Nottingham Trent University,7,58,enrolment,1,1
The Nottingham Trent University,8,72,enrolment,1,1
The Nottingham Trent University,9,87,enrolment,1,1
The Nottingham Trent University,10,100,enrolment,1,1
The University of Leicester,0,0,enrolment,1,1
The University of Leicester,1,5,enrolment,1,1
The University of Leicester,2,13,enrolment,1,1
The University of Leicester,3,24,enrolment,1,1
The University of Leicester,4,36,enrolment,1,1
The University of Leicester,5,46,enrolment,1,1
The University of Leicester,6,56,enrolment,1,1
The University of Leicester,7,65,enrolment,1,1
The University of Leicester,8,75,enrolment,1,1
The University of Leicester,9,86,enrolment,1,1
The University of Leicester,10,100,enrolment,1,1
Sheffield Hallam University,0,0,enrolment,1,1
Sheffield Hallam University,1,6,enrolment,1,1
Sheffield Hallam University,2,12,enrolment,1,1
Sheffield Hallam University,3,19,enrolment,1,1
Sheffield Hallam University,4,29,enrolment,1,1
Sheffield Hallam University,5,39,enrolment,1,1
Sheffield Hallam University,6,51,enrolment,1,1
Sheffield Hallam University,7,64,enrolment,1,1
Sheffield Hallam University,8,78,enrolment,1,1
Sheffield Hallam University,9,93,enrolment,1,1
Sheffield Hallam University,10,100,enrolment,1,1
The University of Northampton,0,0,enrolment,1,1
The University of Northampton,1,11,enrolment,1,1
The University of Northampton,2,24,enrolment,1,1
The University of Northampton,3,36,enrolment,1,1
The University of Northampton,4,49,enrolment,1,1
The University of Northampton,5,60,enrolment,1,1
The University of Northampton,6,69,enrolment,1,1
The University of Northampton,7,78,enrolment,1,1
The University of Northampton,8,87,enrolment,1,1
The University of Northampton,9,97,enrolment,1,1
The University of Northampton,10,100,enrolment,1,1
