"region_fullname","childhood_conditions_group_id_2000_to_2005","childhood_conditions_group_id_2006_to_2011","childhood_conditions_group_id_2012_to_2017","childhood_conditions_group_id_2018_to_2024","childhood_conditions_group_name_2000_to_2005","childhood_conditions_group_name_2006_to_2011","childhood_conditions_group_name_2012_to_2017","childhood_conditions_group_name_2018_to_2024","labour_market_opportunities_group_id_2000_to_2005","labour_market_opportunities_group_id_2006_to_2011","labour_market_opportunities_group_id_2012_to_2017","labour_market_opportunities_group_id_2018_to_2024","labour_market_opportunities_group_name_2000_to_2005","labour_market_opportunities_group_name_2006_to_2011","labour_market_opportunities_group_name_2012_to_2017","labour_market_opportunities_group_name_2018_to_2024","innovation_and_growth_group_id_2000_to_2005","innovation_and_growth_group_id_2006_to_2011","innovation_and_growth_group_id_2012_to_2017","innovation_and_growth_group_id_2018_to_2024","innovation_and_growth_group_name_2000_to_2005","innovation_and_growth_group_name_2006_to_2011","innovation_and_growth_group_name_2012_to_2017","innovation_and_growth_group_name_2018_to_2024","promising_prospects_group_id_2018_to_2020","promising_prospects_group_id_2021_to_2024","promising_prospects_group_name_2018_to_2020","promising_prospects_group_name_2021_to_2024","region_url"
"Derby","3","4","3","4","Lower Middling","Middling","Lower Middling","Middling","4","4","4","4","Middling","Middling","Middling","Middling","4","4","4","4","Middling","Middling","Middling","Middling","4","3","Middling","Lower Middling","derby"
"Derbyshire","4","4","4","4","Middling","Middling","Middling","Middling","3","4","4","4","Lower Middling","Middling","Middling","Middling","3","4","4","3","Lower Middling","Middling","Middling","Lower Middling","4","2","Middling","Unfavourable","derbyshire"
"Devon CC","4","4","4","4","Middling","Middling","Middling","Middling","4","3","3","3","Middling","Lower Middling","Lower Middling","Lower Middling","4","4","4","4","Middling","Middling","Middling","Middling","5","2","Upper Middling","Unfavourable","devon_cc"
"Doncaster","2","2","2","2","Unfavourable","Unfavourable","Unfavourable","Unfavourable","3","4","3","3","Lower Middling","Middling","Lower Middling","Lower Middling","2","2","2","2","Unfavourable","Unfavourable","Unfavourable","Unfavourable","3","1","Lower Middling","Least Favourable","doncaster"
"Dorset","4","4","4","4","Middling","Middling","Middling","Middling","3","4","4","4","Lower Middling","Middling","Middling","Middling","4","4","4","3","Middling","Middling","Middling","Lower Middling","4","5","Middling","Upper Middling","dorset"
"Dudley","3","4","4","4","Lower Middling","Middling","Middling","Middling","4","4","3","4","Middling","Middling","Lower Middling","Middling","3","3","3","3","Lower Middling","Lower Middling","Lower Middling","Lower Middling","3","4","Lower Middling","Middling","dudley"
"Dumfries and Galloway","3","3","3","3","Lower Middling","Lower Middling","Lower Middling","Lower Middling","3","2","2","3","Lower Middling","Unfavourable","Unfavourable","Lower Middling","3","2","2","3","Lower Middling","Unfavourable","Unfavourable","Lower Middling","1","1","Least Favourable","Least Favourable","dumfries_and_galloway"
"Dundee City","3","2","3","4","Lower Middling","Unfavourable","Lower Middling","Middling","3","4","4","2","Lower Middling","Middling","Middling","Unfavourable","4","4","4","4","Middling","Middling","Middling","Middling","3","4","Lower Middling","Middling","dundee_city"
"Durham","3","3","3","2","Lower Middling","Lower Middling","Lower Middling","Unfavourable","2","3","3","2","Unfavourable","Lower Middling","Lower Middling","Unfavourable","3","3","3","3","Lower Middling","Lower Middling","Lower Middling","Lower Middling","1","1","Least Favourable","Least Favourable","durham"
"Ealing","6","5","5","7","Favourable","Upper Middling","Upper Middling","Most Favourable","6","5","5","7","Favourable","Upper Middling","Upper Middling","Most Favourable","6","5","5","5","Favourable","Upper Middling","Upper Middling","Upper Middling","7","7","Most Favourable","Most Favourable","ealing"
