"Region","2018 to 2024","","2012 to 2017","","2006 to 2011","","2000 to 2005",""
"","Index of 'labour market opportunities for young people' ('Z-scores')","Group","Index of 'labour market opportunities for young people' ('Z-scores')","Group","Index of 'labour market opportunities for young people' ('Z-scores')","Group","Index of 'labour market opportunities for young people' ('Z-scores')","Group"
"Powys","-0.159","Middling","-0.892","Lower Middling","-1.128","Unfavourable","-0.805","Lower Middling"
"Reading","0.883","Upper Middling","1.706","Most Favourable","1.672","Most Favourable","1.371","Favourable"
"Redbridge","0.129","Middling","1.107","Favourable","0.752","Upper Middling","1.189","Favourable"
"Redcar and Cleveland","-0.788","Lower Middling","-1.21","Unfavourable","-0.548","Lower Middling","-0.994","Lower Middling"
"Renfrewshire","-0.007","Middling","-0.246","Middling","-0.273","Middling","-0.4","Middling"
"Rhondda Cynon Taf","-0.66","Lower Middling","-1.024","Unfavourable","-0.947","Lower Middling","-1.284","Unfavourable"
"Richmond upon Thames","0.139","Middling","1.613","Most Favourable","2.185","Most Favourable","2.319","Most Favourable"
"Rochdale","-0.068","Middling","-0.484","Middling","-0.43","Middling","-0.537","Lower Middling"
"Rotherham","-0.691","Lower Middling","-0.386","Middling","-0.543","Lower Middling","-0.55","Lower Middling"
"Rutland","-0.09","Middling","-0.34","Middling","-0.629","Lower Middling","-0.573","Lower Middling"
"Salford","1.077","Favourable","0.143","Middling","0.246","Middling","0.019","Middling"
"Sandwell","-0.869","Lower Middling","-1.022","Unfavourable","-0.108","Middling","-0.591","Lower Middling"
"Scottish Borders","-1.043","Unfavourable","-0.827","Lower Middling","-1.316","Unfavourable","-0.991","Lower Middling"
"Sefton","-0.254","Middling","0.001","Middling","-0.12","Middling","-0.491","Middling"
"Sheffield","-0.119","Middling","-0.398","Middling","-0.095","Middling","-0.32","Middling"
"Shetland Islands","-1.08","Unfavourable","-1.079","Unfavourable","-0.431","Middling","-0.701","Lower Middling"
"Shropshire","-0.908","Lower Middling","-0.37","Middling","-0.461","Middling","-0.419","Middling"
"Slough","-0.177","Middling","0.197","Middling","0.487","Middling","1.327","Favourable"
"Solihull","0.089","Middling","0.512","Upper Middling","-0.172","Middling","0.433","Middling"
"Somerset CC","-0.122","Middling","-0.607","Lower Middling","-0.285","Middling","-0.651","Lower Middling"
