"Region","2018 to 2024","","2012 to 2017","","2006 to 2011","","2000 to 2005",""
"","Index of 'conditions of childhood' ('Z-scores')","Group","Index of 'conditions of childhood' ('Z-scores')","Group","Index of 'conditions of childhood' ('Z-scores')","Group","Index of 'conditions of childhood' ('Z-scores')","Group"
"Portsmouth","-0.226","Middling","-0.294","Middling","-0.342","Middling","0.009","Middling"
"Powys","-0.763","Lower Middling","-0.736","Lower Middling","-0.305","Middling","0.094","Middling"
"Reading","1.035","Favourable","1.199","Favourable","0.715","Upper Middling","0.775","Upper Middling"
"Redbridge","0.557","Upper Middling","1.019","Favourable","0.924","Upper Middling","0.925","Upper Middling"
"Redcar and Cleveland","-1.456","Unfavourable","-1.134","Unfavourable","-1.132","Unfavourable","-1.248","Unfavourable"
"Renfrewshire","0.062","Middling","-0.008","Middling","-0.061","Middling","0.25","Middling"
"Rhondda Cynon Taf","-1.172","Unfavourable","-0.631","Lower Middling","-0.995","Lower Middling","-0.802","Lower Middling"
"Richmond upon Thames","2.558","Most Favourable","3.477","Most Favourable","3.855","Most Favourable","4.258","Most Favourable"
"Rochdale","-1.553","Least Favourable","-1.245","Unfavourable","-0.67","Lower Middling","-0.822","Lower Middling"
"Rotherham","-0.878","Lower Middling","-1.594","Least Favourable","-1.204","Unfavourable","-0.847","Lower Middling"
"Rutland","0.64","Upper Middling","1.127","Favourable","0.791","Upper Middling","1.625","Most Favourable"
"Salford","-0.484","Middling","-0.748","Lower Middling","-0.657","Lower Middling","-0.602","Lower Middling"
"Sandwell","-1.647","Least Favourable","-2.013","Least Favourable","-1.49","Unfavourable","-1.649","Least Favourable"
"Scottish Borders","-0.297","Middling","-0.751","Lower Middling","0.018","Middling","-0.263","Middling"
"Sefton","0.056","Middling","-0.256","Middling","-0.175","Middling","-0.005","Middling"
"Sheffield","0.226","Middling","-0.202","Middling","-0.33","Middling","0.143","Middling"
"Shetland Islands","-0.621","Lower Middling","1.142","Favourable","0.604","Upper Middling","0.12","Middling"
"Shropshire","0.014","Middling","-0.021","Middling","0.137","Middling","0.23","Middling"
"Slough","-0.174","Middling","-0.543","Lower Middling","-0.293","Middling","-0.049","Middling"
"Solihull","1.232","Favourable","0.907","Upper Middling","1.026","Favourable","1.347","Favourable"
"Somerset CC","-0.27","Middling","-0.003","Middling","-0.163","Middling","-0.205","Middling"
"South Ayrshire","-0.038","Middling","0.159","Middling","0.039","Middling","-0.172","Middling"
"South Gloucestershire","0.697","Upper Middling","0.343","Middling","0.55","Upper Middling","0.594","Upper Middling"
"South Lanarkshire","-0.359","Middling","-0.145","Middling","0.176","Middling","-0.189","Middling"
"South Tyneside","-0.584","Lower Middling","-0.9","Lower Middling","-0.872","Lower Middling","-1.077","Unfavourable"
"Southampton","-0.433","Middling","-0.329","Middling","-0.175","Middling","-0.385","Middling"
"Southend-on-Sea","-0.197","Middling","0.099","Middling","0.031","Middling","-0.159","Middling"
